n_sibs	gain_var
1	0.0
2	0.6219599356579961
3	0.8921965711255294
4	1.0954767760122135
5	1.0496271100708192
6	1.093733483681816
7	1.1738911366709452
8	1.2415658292489204
9	1.2671900625185626
10	1.4364260553300832
11	1.5549873055388257
12	1.4970880358401475
13	1.4920904726190334
14	1.445322916812945
15	1.5124649976096678
16	1.4761310871579718
17	1.3770725025052621
18	1.294125726348366
19	1.2606289045962156
20	1.196142993386885
21	1.2913287125959396
22	1.2226232407213582
23	1.2083774002279644
24	1.185816544632619
25	1.1416585105291484
26	1.1402130120107346
27	1.135485532003826
28	1.1601746543736453
29	1.1674268758258448
30	1.1343538008267091
31	1.1094649996088215
32	1.114570290728265
33	1.0917379338403388
34	1.1007976366837164
35	1.0683892141469553
36	1.0345936623015084
37	1.0022979368339342
38	0.9820919216708054
39	0.9775773169049938
40	0.9794296811293708
41	0.960796219804368
42	0.9559452503918437
43	0.9626967683352593
44	0.940040218511081
45	0.896949504425572
46	0.8770645749767282
47	0.8786766456001075
48	0.8605674679519527
49	0.970241963107356
50	0.9598096306100112

